Video_ID,Transcript
bbaf2n,bin blue at f two now
bbaf3s,bin blue at f three soon
bbaf4p,bin blue at f four please
bbaf5a,bin blue at f five again
bbal6n,bin blue at l six now
bbal7s,bin blue at l seven soon
bbal8p,bin blue at l eight please
bbal9a,bin blue at l nine again
bbas1s,bin blue at s one soon
bbas2p,bin blue at s two please
bbas3a,bin blue at s three again
bbaszn,bin blue at s zero now
bbaz4n,bin blue at z four now
bbaz5s,bin blue at z five soon
bbaz6p,bin blue at z six please
bbaz7a,bin blue at z seven again
bbbf6n,bin blue by f six now
bbbf7s,bin blue by f seven soon
bbbf8p,bin blue by f eight please
bbbf9a,bin blue by f nine again
bbbm1s,bin blue by m one soon
bbbm2p,bin blue by m two please
bbbm3a,bin blue by m three again
bbbmzn,bin blue by m zero now
bbbs4n,bin blue by s four now
bbbs5s,bin blue by s five soon
bbbs6p,bin blue by s six please
bbbs7a,bin blue by s seven again
bbbz8n,bin blue by z eight now
bbbz9s,bin blue by z nine soon
bbie8n,bin blue in e eight now
bbie9s,bin blue in e nine soon
bbif1a,bin blue in f one again
bbifzp,bin blue in f zero please
bbil2n,bin blue in l two now
bbil3s,bin blue in l three soon
bbil4p,bin blue in l four please
bbil5a,bin blue in l five again
bbir6n,bin blue in r six now
bbir7s,bin blue in r seven soon
bbir8p,bin blue in r eight please
bbir9a,bin blue in r nine again
bbiz1s,bin blue in z one soon
bbiz2p,bin blue in z two please
bbiz3a,bin blue in z three again
bbizzn,bin blue in z zero now
bbwg1s,bin blue with g one soon
bbwg2p,bin blue with g two please
bbwg3a,bin blue with g three again
bbwgzn,bin blue with g zero now
bbwm4n,bin blue with m four now
bbwm5s,bin blue with m five soon
bbwm6p,bin blue with m six please
bbwm7a,bin blue with m seven again
bbws8n,bin blue with s eight now
bbws9s,bin blue with s nine soon
bbwt1a,bin blue with t one again
bbwtzp,bin blue with t zero please
bgaa6n,bin green at a six now
bgaa7s,bin green at a seven soon
bgaa8p,bin green at a eight please
bgaa9a,bin green at a nine again
bgah1s,bin green at h one soon
bgah2p,bin green at h two please
bgah3a,bin green at h three again
bgahzn,bin green at h zero now
bgan4n,bin green at n four now
bgan5s,bin green at n five soon
bgan6p,bin green at n six please
bgan7a,bin green at n seven again
bgat8n,bin green at t eight now
bgat9s,bin green at t nine soon
bgau1a,bin green at u one again
bgauzp,bin green at u zero please
bgbb1s,bin green by b one soon
bgbb2p,bin green by b two please
bgbb3a,bin green by b three again
bgbbzn,bin green by b zero now
bgbh4n,bin green by h four now
bgbh5s,bin green by h five soon
bgbh6p,bin green by h six please
bgbh7a,bin green by h seven again
bgbn8n,bin green by n eight now
bgbn9s,bin green by n nine soon
bgbo1a,bin green by o one again
bgbozp,bin green by o zero please
bgbu2n,bin green by u two now
bgbu3s,bin green by u three soon
bgbu4p,bin green by u four please
bgbu5a,bin green by u five again
bgia2n,bin green in a two now
bgia3s,bin green in a three soon
bgia4p,bin green in a four please
bgia5a,bin green in a five again
bgig6n,bin green in g six now
bgig7s,bin green in g seven soon
bgig8p,bin green in g eight please
bgig9a,bin green in g nine again
bgin1s,bin green in n one soon
bgin2p,bin green in n two please
bgin3a,bin green in n three again
bginzn,bin green in n zero now
bgit4n,bin green in t four now
bgit5s,bin green in t five soon
bgit6p,bin green in t six please
bgit7a,bin green in t seven again
bgwb4n,bin green with b four now
bgwb5s,bin green with b five soon
bgwb6p,bin green with b six please
bgwb7a,bin green with b seven again
bgwh8n,bin green with h eight now
bgwh9s,bin green with h nine soon
bgwi1a,bin green with i one again
bgwizp,bin green with i zero please
bgwo2n,bin green with o two now
bgwo3s,bin green with o three soon
bgwo4p,bin green with o four please
bgwo5a,bin green with o five again
bgwu6n,bin green with u six now
bgwu7s,bin green with u seven soon
bgwu8p,bin green with u eight please
bgwu9a,bin green with u nine again
braf8n,bin red at f eight now
braf9s,bin red at f nine soon
brag1a,bin red at g one again
bragzp,bin red at g zero please
bram2n,bin red at m two now
bram3s,bin red at m three soon
bram4p,bin red at m four please
bram5a,bin red at m five again
bras6n,bin red at s six now
bras7s,bin red at s seven soon
bras8p,bin red at s eight please
bras9a,bin red at s nine again
brba1a,bin red by a one again
brbazp,bin red by a zero please
brbg2n,bin red by g two now
brbg3s,bin red by g three soon
brbg4p,bin red by g four please
brbg5a,bin red by g five again
brbm6n,bin red by m six now
brbm7s,bin red by m seven soon
brbm8p,bin red by m eight please
brbm9a,bin red by m nine again
brbt1s,bin red by t one soon
brbt2p,bin red by t two please
brbt3a,bin red by t three again
brbtzn,bin red by t zero now
brif4n,bin red in f four now
brif5s,bin red in f five soon
brif6p,bin red in f six please
brif7a,bin red in f seven again
bril8n,bin red in l eight now
bril9s,bin red in l nine soon
brim1a,bin red in m one again
brimzp,bin red in m zero please
bris2n,bin red in s two now
bris3s,bin red in s three soon
bris4p,bin red in s four please
bris5a,bin red in s five again
briz6n,bin red in z six now
briz7s,bin red in z seven soon
briz8p,bin red in z eight please
briz9a,bin red in z nine again
brwa2n,bin red with a two now
brwa3s,bin red with a three soon
brwa4p,bin red with a four please
brwa5a,bin red with a five again
brwg6n,bin red with g six now
brwg7s,bin red with g seven soon
brwg8p,bin red with g eight please
brwg9a,bin red with g nine again
brwn1s,bin red with n one soon
brwn2p,bin red with n two please
brwn3a,bin red with n three again
brwnzn,bin red with n zero now
brwt4n,bin red with t four now
brwt5s,bin red with t five soon
brwt6p,bin red with t six please
brwt7a,bin red with t seven again
bwaa1s,bin white at a one soon
bwaa2p,bin white at a two please
bwaa3a,bin white at a three again
bwaazn,bin white at a zero now
bwag4n,bin white at g four now
bwag5s,bin white at g five soon
bwag6p,bin white at g six please
bwag7a,bin white at g seven again
bwam8n,bin white at m eight now
bwam9s,bin white at m nine soon
bwan1a,bin white at n one again
bwanzp,bin white at n zero please
bwat2n,bin white at t two now
bwat3s,bin white at t three soon
bwat4p,bin white at t four please
bwat5a,bin white at t five again
bwba4n,bin white by a four now
bwba5s,bin white by a five soon
bwba6p,bin white by a six please
bwba7a,bin white by a seven again
bwbg8n,bin white by g eight now
bwbg9s,bin white by g nine soon
bwbh1a,bin white by h one again
